dataset,target_model,auto_encoder_weighting,auto_encoder_sampling,auto_encoder,instance_no,noise_std,kernel_width,jaccard_values,score,mse,predict_label,label
adult,NN,TRUE,FALSE,AE,12,0.5,,,0.645,0.004,[0],0
adult,NN,TRUE,FALSE,AE,12,0.6,,,0.659,0.006,[0],0
adult,NN,TRUE,FALSE,AE,12,0.7,,,0.644,0.005,[0],0
adult,NN,TRUE,FALSE,AE,12,0.8,,,0.661,0.006,[0],0
adult,NN,TRUE,FALSE,AE,12,0.9,,,0.662,0.007,[0],0
adult,NN,TRUE,FALSE,AE,12,1,,,0.652,0.002,[0],0
adult,NN,TRUE,FALSE,AE,13,0.1,,,0.664,0.015,[0],0
adult,NN,TRUE,FALSE,AE,13,0.2,,,0.66,0.014,[0],0
adult,NN,TRUE,FALSE,AE,13,0.3,,,0.669,0.012,[0],0
adult,NN,TRUE,FALSE,AE,13,0.4,,,0.653,0.014,[0],0
adult,NN,TRUE,FALSE,AE,13,0.5,,,0.66,0.015,[0],0
adult,NN,TRUE,FALSE,AE,13,0.6,,,0.663,0.013,[0],0
adult,NN,TRUE,FALSE,AE,13,0.7,,,0.648,0.013,[0],0
adult,NN,TRUE,FALSE,AE,13,0.8,,,0.649,0.015,[0],0
adult,NN,TRUE,FALSE,AE,13,0.9,,,0.652,0.013,[0],0
adult,NN,TRUE,FALSE,AE,13,1,,,0.653,0.014,[0],0
adult,NN,TRUE,FALSE,AE,14,0.1,,,0.701,0.01,[0],0
adult,NN,TRUE,FALSE,AE,14,0.2,,,0.691,0.012,[0],0
adult,NN,TRUE,FALSE,AE,14,0.3,,,0.699,0.011,[0],0
adult,NN,TRUE,FALSE,AE,14,0.4,,,0.7,0.013,[0],0
adult,NN,TRUE,FALSE,AE,14,0.5,,,0.709,0.01,[0],0
adult,NN,TRUE,FALSE,AE,14,0.6,,,0.707,0.009,[0],0
adult,NN,TRUE,FALSE,AE,14,0.7,,,0.696,0.014,[0],0
adult,NN,TRUE,FALSE,AE,14,0.8,,,0.683,0.01,[0],0
adult,NN,TRUE,FALSE,AE,14,0.9,,,0.701,0.015,[0],0
adult,NN,TRUE,FALSE,AE,14,1,,,0.69,0.012,[0],0
adult,NN,TRUE,FALSE,AE,15,0.1,,,0.659,0.029,[0],0
adult,NN,TRUE,FALSE,AE,15,0.2,,,0.635,0.028,[0],0
adult,NN,TRUE,FALSE,AE,15,0.3,,,0.659,0.024,[0],0
adult,NN,TRUE,FALSE,AE,15,0.4,,,0.64,0.024,[0],0
adult,NN,TRUE,FALSE,AE,15,0.5,,,0.657,0.028,[0],0
adult,NN,TRUE,FALSE,AE,15,0.6,,,0.654,0.038,[0],0
adult,NN,TRUE,FALSE,AE,15,0.7,,,0.658,0.031,[0],0
adult,NN,TRUE,FALSE,AE,15,0.8,,,0.662,0.029,[0],0
adult,NN,TRUE,FALSE,AE,15,0.9,,,0.662,0.027,[0],0
adult,NN,TRUE,FALSE,AE,15,1,,,0.662,0.027,[0],0
adult,NN,TRUE,FALSE,AE,16,0.1,,,0.666,0.07,[1],1
adult,NN,TRUE,FALSE,AE,16,0.2,,,0.662,0.064,[1],1
adult,NN,TRUE,FALSE,AE,16,0.3,,,0.649,0.064,[1],1
adult,NN,TRUE,FALSE,AE,16,0.4,,,0.654,0.065,[1],1
adult,NN,TRUE,FALSE,AE,16,0.5,,,0.65,0.069,[1],1
adult,NN,TRUE,FALSE,AE,16,0.6,,,0.667,0.064,[1],1
adult,NN,TRUE,FALSE,AE,16,0.7,,,0.645,0.067,[1],1
adult,NN,TRUE,FALSE,AE,16,0.8,,,0.673,0.065,[1],1
adult,NN,TRUE,FALSE,AE,16,0.9,,,0.669,0.069,[1],1
adult,NN,TRUE,FALSE,AE,16,1,,,0.658,0.068,[1],1
adult,NN,TRUE,FALSE,AE,17,0.1,,,0.672,0.037,[0],0
adult,NN,TRUE,FALSE,AE,17,0.2,,,0.665,0.035,[0],0
adult,NN,TRUE,FALSE,AE,17,0.3,,,0.656,0.039,[0],0
adult,NN,TRUE,FALSE,AE,17,0.4,,,0.653,0.039,[0],0
adult,NN,TRUE,FALSE,AE,17,0.5,,,0.663,0.038,[0],0
adult,NN,TRUE,FALSE,AE,17,0.6,,,0.659,0.034,[0],0
adult,NN,TRUE,FALSE,AE,17,0.7,,,0.657,0.035,[0],0
adult,NN,TRUE,FALSE,AE,17,0.8,,,0.628,0.038,[0],0
adult,NN,TRUE,FALSE,AE,17,0.9,,,0.667,0.038,[0],0
adult,NN,TRUE,FALSE,AE,17,1,,,0.67,0.039,[0],0
adult,NN,TRUE,FALSE,AE,18,0.1,,,0.664,0.002,[0],0
adult,NN,TRUE,FALSE,AE,18,0.2,,,0.65,0.002,[0],0
adult,NN,TRUE,FALSE,AE,18,0.3,,,0.656,0.004,[0],0
adult,NN,TRUE,FALSE,AE,18,0.4,,,0.655,0.002,[0],0
adult,NN,TRUE,FALSE,AE,18,0.5,,,0.647,0.002,[0],0
adult,NN,TRUE,FALSE,AE,18,0.6,,,0.661,0.001,[0],0
adult,NN,TRUE,FALSE,AE,18,0.7,,,0.67,0.003,[0],0
adult,NN,TRUE,FALSE,AE,18,0.8,,,0.647,0.003,[0],0
adult,NN,TRUE,FALSE,AE,18,0.9,,,0.657,0.003,[0],0
adult,NN,TRUE,FALSE,AE,18,1,,,0.651,0.001,[0],0
adult,NN,TRUE,FALSE,AE,19,0.1,,,0.63,0.154,[1],1
adult,NN,TRUE,FALSE,AE,19,0.2,,,0.654,0.165,[1],1
adult,NN,TRUE,FALSE,AE,19,0.3,,,0.652,0.169,[1],1
adult,NN,TRUE,FALSE,AE,19,0.4,,,0.663,0.157,[1],1
adult,NN,TRUE,FALSE,AE,19,0.5,,,0.619,0.174,[1],1
adult,NN,TRUE,FALSE,AE,19,0.6,,,0.675,0.176,[1],1
adult,NN,TRUE,FALSE,AE,19,0.7,,,0.659,0.162,[1],1
adult,NN,TRUE,FALSE,AE,19,0.8,,,0.648,0.168,[1],1
adult,NN,TRUE,FALSE,AE,19,0.9,,,0.657,0.171,[1],1
adult,NN,TRUE,FALSE,AE,19,1,,,0.655,0.166,[1],1
adult,NN,TRUE,FALSE,AE,2,0.1,,,0.691,0.028,[0],0
adult,NN,TRUE,FALSE,AE,2,0.2,,,0.716,0.025,[0],0
adult,NN,TRUE,FALSE,AE,2,0.3,,,0.715,0.029,[0],0
adult,NN,TRUE,FALSE,AE,2,0.4,,,0.703,0.025,[0],0
adult,NN,TRUE,FALSE,AE,2,0.5,,,0.655,0.024,[0],0
adult,NN,TRUE,FALSE,AE,2,0.6,,,0.684,0.025,[0],0
adult,NN,TRUE,FALSE,AE,2,0.7,,,0.691,0.019,[0],0
adult,NN,TRUE,FALSE,AE,2,0.8,,,0.626,0.021,[0],0
adult,NN,TRUE,FALSE,AE,2,0.9,,,0.68,0.028,[0],0
adult,NN,TRUE,FALSE,AE,2,1,,,0.691,0.027,[0],0
adult,NN,TRUE,FALSE,AE,20,0.1,,,0.654,0,[0],0
adult,NN,TRUE,FALSE,AE,20,0.2,,,0.666,0.002,[0],0
adult,NN,TRUE,FALSE,AE,20,0.3,,,0.645,0.001,[0],0
adult,NN,TRUE,FALSE,AE,20,0.4,,,0.666,0,[0],0
adult,NN,TRUE,FALSE,AE,20,0.5,,,0.664,0,[0],0
adult,NN,TRUE,FALSE,AE,20,0.6,,,0.656,0,[0],0
adult,NN,TRUE,FALSE,AE,20,0.7,,,0.636,0,[0],0
adult,NN,TRUE,FALSE,AE,20,0.8,,,0.65,0.001,[0],0
adult,NN,TRUE,FALSE,AE,20,0.9,,,0.651,0,[0],0
adult,NN,TRUE,FALSE,AE,20,1,,,0.659,0,[0],0
adult,NN,TRUE,FALSE,AE,21,0.1,,,0.644,0.009,[0],0
adult,NN,TRUE,FALSE,AE,21,0.2,,,0.644,0.01,[0],0
adult,NN,TRUE,FALSE,AE,21,0.3,,,0.635,0.009,[0],0
adult,NN,TRUE,FALSE,AE,21,0.4,,,0.627,0.007,[0],0
adult,NN,TRUE,FALSE,AE,21,0.5,,,0.632,0.009,[0],0
adult,NN,TRUE,FALSE,AE,21,0.6,,,0.644,0.013,[0],0
adult,NN,TRUE,FALSE,AE,21,0.7,,,0.631,0.014,[0],0
adult,NN,TRUE,FALSE,AE,21,0.8,,,0.635,0.012,[0],0
adult,NN,TRUE,FALSE,AE,21,0.9,,,0.642,0.011,[0],0
adult,NN,TRUE,FALSE,AE,21,1,,,0.648,0.01,[0],0
adult,NN,TRUE,FALSE,AE,22,0.1,,,0.667,0.003,[0],0
adult,NN,TRUE,FALSE,AE,22,0.2,,,0.674,0.001,[0],0
adult,NN,TRUE,FALSE,AE,22,0.3,,,0.656,0.002,[0],0
adult,NN,TRUE,FALSE,AE,22,0.4,,,0.655,0.002,[0],0
adult,NN,TRUE,FALSE,AE,22,0.5,,,0.66,0.003,[0],0
adult,NN,TRUE,FALSE,AE,22,0.6,,,0.672,0,[0],0
adult,NN,TRUE,FALSE,AE,22,0.7,,,0.655,0.001,[0],0
adult,NN,TRUE,FALSE,AE,22,0.8,,,0.674,0.001,[0],0
adult,NN,TRUE,FALSE,AE,22,0.9,,,0.665,0.002,[0],0
adult,NN,TRUE,FALSE,AE,22,1,,,0.688,0.002,[0],0
adult,NN,TRUE,FALSE,AE,23,0.1,,,0.653,0.001,[0],0
adult,NN,TRUE,FALSE,AE,23,0.2,,,0.651,0.001,[0],0
adult,NN,TRUE,FALSE,AE,23,0.3,,,0.647,0.001,[0],0
adult,NN,TRUE,FALSE,AE,23,0.4,,,0.657,0.002,[0],0
adult,NN,TRUE,FALSE,AE,23,0.5,,,0.642,0,[0],0
adult,NN,TRUE,FALSE,AE,23,0.6,,,0.635,0.001,[0],0
adult,NN,TRUE,FALSE,AE,23,0.7,,,0.659,0.001,[0],0
adult,NN,TRUE,FALSE,AE,23,0.8,,,0.665,0.001,[0],0
adult,NN,TRUE,FALSE,AE,23,0.9,,,0.657,0.001,[0],0
adult,NN,TRUE,FALSE,AE,23,1,,,0.646,0.001,[0],0
adult,NN,TRUE,FALSE,AE,24,0.1,,,0.684,0.003,[0],0
adult,NN,TRUE,FALSE,AE,24,0.2,,,0.695,0.002,[0],0
adult,NN,TRUE,FALSE,AE,24,0.3,,,0.702,0.003,[0],0
adult,NN,TRUE,FALSE,AE,24,0.4,,,0.685,0.003,[0],0
adult,NN,TRUE,FALSE,AE,24,0.5,,,0.696,0.003,[0],0
adult,NN,TRUE,FALSE,AE,24,0.6,,,0.711,0.002,[0],0
adult,NN,TRUE,FALSE,AE,24,0.7,,,0.694,0.003,[0],0
adult,NN,TRUE,FALSE,AE,24,0.8,,,0.698,0.001,[0],0
adult,NN,TRUE,FALSE,AE,24,0.9,,,0.704,0.003,[0],0
adult,NN,TRUE,FALSE,AE,24,1,,,0.705,0.002,[0],0
adult,NN,TRUE,FALSE,AE,25,0.1,,,0.642,0.001,[0],0
adult,NN,TRUE,FALSE,AE,25,0.2,,,0.663,0,[0],0
adult,NN,TRUE,FALSE,AE,25,0.3,,,0.62,0,[0],0
adult,NN,TRUE,FALSE,AE,25,0.4,,,0.648,0,[0],0
adult,NN,TRUE,FALSE,AE,25,0.5,,,0.652,0,[0],0
adult,NN,TRUE,FALSE,AE,25,0.6,,,0.655,0,[0],0
adult,NN,TRUE,FALSE,AE,25,0.7,,,0.65,0,[0],0
adult,NN,TRUE,FALSE,AE,25,0.8,,,0.649,0.002,[0],0
adult,NN,TRUE,FALSE,AE,25,0.9,,,0.631,0,[0],0
adult,NN,TRUE,FALSE,AE,25,1,,,0.657,0,[0],0
adult,NN,TRUE,FALSE,AE,26,0.1,,,0.657,0.164,[1],1
adult,NN,TRUE,FALSE,AE,26,0.2,,,0.641,0.167,[1],1
adult,NN,TRUE,FALSE,AE,26,0.3,,,0.645,0.182,[1],1
adult,NN,TRUE,FALSE,AE,26,0.4,,,0.632,0.167,[1],1
adult,NN,TRUE,FALSE,AE,26,0.5,,,0.65,0.171,[1],1
adult,NN,TRUE,FALSE,AE,26,0.6,,,0.642,0.178,[1],1
adult,NN,TRUE,FALSE,AE,26,0.7,,,0.632,0.162,[1],1
adult,NN,TRUE,FALSE,AE,26,0.8,,,0.641,0.167,[1],1
adult,NN,TRUE,FALSE,AE,26,0.9,,,0.65,0.179,[1],1
adult,NN,TRUE,FALSE,AE,26,1,,,0.649,0.18,[1],1
adult,NN,TRUE,FALSE,AE,27,0.1,,,0.661,0.009,[0],1
adult,NN,TRUE,FALSE,AE,27,0.2,,,0.636,0.01,[0],1
adult,NN,TRUE,FALSE,AE,27,0.3,,,0.66,0.008,[0],1
adult,NN,TRUE,FALSE,AE,27,0.4,,,0.644,0.011,[0],1
adult,NN,TRUE,FALSE,AE,27,0.5,,,0.635,0.011,[0],1
adult,NN,TRUE,FALSE,AE,27,0.6,,,0.663,0.009,[0],1
adult,NN,TRUE,FALSE,AE,27,0.7,,,0.647,0.01,[0],1
adult,NN,TRUE,FALSE,AE,27,0.8,,,0.649,0.01,[0],1
adult,NN,TRUE,FALSE,AE,27,0.9,,,0.642,0.01,[0],1
adult,NN,TRUE,FALSE,AE,27,1,,,0.635,0.009,[0],1
adult,NN,TRUE,FALSE,AE,28,0.1,,,0.654,0.013,[0],1
adult,NN,TRUE,FALSE,AE,28,0.2,,,0.647,0.013,[0],1
adult,NN,TRUE,FALSE,AE,28,0.3,,,0.659,0.016,[0],1
adult,NN,TRUE,FALSE,AE,28,0.4,,,0.645,0.015,[0],1
adult,NN,TRUE,FALSE,AE,28,0.5,,,0.664,0.016,[0],1
adult,NN,TRUE,FALSE,AE,28,0.6,,,0.64,0.012,[0],1
adult,NN,TRUE,FALSE,AE,28,0.7,,,0.66,0.017,[0],1
adult,NN,TRUE,FALSE,AE,28,0.8,,,0.658,0.017,[0],1
adult,NN,TRUE,FALSE,AE,28,0.9,,,0.658,0.014,[0],1
adult,NN,TRUE,FALSE,AE,28,1,,,0.657,0.014,[0],1
adult,NN,TRUE,FALSE,AE,29,0.1,,,0.648,0.031,[0],0
adult,NN,TRUE,FALSE,AE,29,0.2,,,0.652,0.032,[0],0
adult,NN,TRUE,FALSE,AE,29,0.3,,,0.639,0.028,[0],0
adult,NN,TRUE,FALSE,AE,29,0.4,,,0.643,0.033,[0],0
adult,NN,TRUE,FALSE,AE,29,0.5,,,0.661,0.027,[0],0
adult,NN,TRUE,FALSE,AE,29,0.6,,,0.65,0.03,[0],0
adult,NN,TRUE,FALSE,AE,29,0.7,,,0.629,0.029,[0],0
adult,NN,TRUE,FALSE,AE,29,0.8,,,0.654,0.029,[0],0
adult,NN,TRUE,FALSE,AE,29,0.9,,,0.642,0.029,[0],0
adult,NN,TRUE,FALSE,AE,29,1,,,0.637,0.034,[0],0
adult,NN,TRUE,FALSE,AE,3,0.1,,,0.65,0.017,[0],0
adult,NN,TRUE,FALSE,AE,3,0.2,,,0.624,0.017,[0],0
adult,NN,TRUE,FALSE,AE,3,0.3,,,0.675,0.017,[0],0
adult,NN,TRUE,FALSE,AE,3,0.4,,,0.646,0.02,[0],0
adult,NN,TRUE,FALSE,AE,3,0.5,,,0.663,0.015,[0],0
adult,NN,TRUE,FALSE,AE,3,0.6,,,0.684,0.018,[0],0
adult,NN,TRUE,FALSE,AE,3,0.7,,,0.629,0.018,[0],0
adult,NN,TRUE,FALSE,AE,3,0.8,,,0.659,0.017,[0],0
adult,NN,TRUE,FALSE,AE,3,0.9,,,0.657,0.015,[0],0
adult,NN,TRUE,FALSE,AE,3,1,,,0.674,0.017,[0],0
adult,NN,TRUE,FALSE,AE,30,0.1,,,0.644,0.05,[1],0
adult,NN,TRUE,FALSE,AE,30,0.2,,,0.65,0.05,[1],0
adult,NN,TRUE,FALSE,AE,30,0.3,,,0.657,0.058,[1],0
adult,NN,TRUE,FALSE,AE,30,0.4,,,0.654,0.052,[1],0
adult,NN,TRUE,FALSE,AE,30,0.5,,,0.663,0.059,[1],0
adult,NN,TRUE,FALSE,AE,30,0.6,,,0.661,0.057,[1],0
adult,NN,TRUE,FALSE,AE,30,0.7,,,0.637,0.052,[1],0
adult,NN,TRUE,FALSE,AE,30,0.8,,,0.659,0.056,[1],0
adult,NN,TRUE,FALSE,AE,30,0.9,,,0.643,0.051,[1],0
adult,NN,TRUE,FALSE,AE,30,1,,,0.636,0.056,[1],0
adult,NN,TRUE,FALSE,AE,31,0.1,,,0.652,0,[0],0
adult,NN,TRUE,FALSE,AE,31,0.2,,,0.67,0,[0],0
adult,NN,TRUE,FALSE,AE,31,0.3,,,0.654,0.001,[0],0
adult,NN,TRUE,FALSE,AE,31,0.4,,,0.648,0,[0],0
adult,NN,TRUE,FALSE,AE,31,0.5,,,0.662,0,[0],0
adult,NN,TRUE,FALSE,AE,31,0.6,,,0.649,0.001,[0],0
adult,NN,TRUE,FALSE,AE,31,0.7,,,0.648,0,[0],0
adult,NN,TRUE,FALSE,AE,31,0.8,,,0.661,0,[0],0
adult,NN,TRUE,FALSE,AE,31,0.9,,,0.666,0.001,[0],0
adult,NN,TRUE,FALSE,AE,31,1,,,0.642,0,[0],0
adult,NN,TRUE,FALSE,AE,32,0.1,,,0.605,0.067,[1],1
adult,NN,TRUE,FALSE,AE,32,0.2,,,0.625,0.063,[1],1
adult,NN,TRUE,FALSE,AE,32,0.3,,,0.614,0.069,[1],1
adult,NN,TRUE,FALSE,AE,32,0.4,,,0.602,0.062,[1],1
adult,NN,TRUE,FALSE,AE,32,0.5,,,0.622,0.06,[1],1
adult,NN,TRUE,FALSE,AE,32,0.6,,,0.636,0.058,[1],1
adult,NN,TRUE,FALSE,AE,32,0.7,,,0.618,0.056,[1],1
adult,NN,TRUE,FALSE,AE,32,0.8,,,0.636,0.071,[1],1
adult,NN,TRUE,FALSE,AE,32,0.9,,,0.627,0.06,[1],1
adult,NN,TRUE,FALSE,AE,32,1,,,0.609,0.059,[1],1
adult,NN,TRUE,FALSE,AE,33,0.1,,,0.706,0.001,[0],1
adult,NN,TRUE,FALSE,AE,33,0.2,,,0.7,0.002,[0],1
adult,NN,TRUE,FALSE,AE,33,0.3,,,0.692,0.001,[0],1
adult,NN,TRUE,FALSE,AE,33,0.4,,,0.7,0.001,[0],1
adult,NN,TRUE,FALSE,AE,33,0.5,,,0.705,0.001,[0],1
adult,NN,TRUE,FALSE,AE,33,0.6,,,0.716,0.001,[0],1
adult,NN,TRUE,FALSE,AE,33,0.7,,,0.708,0.002,[0],1
adult,NN,TRUE,FALSE,AE,33,0.8,,,0.679,0,[0],1
adult,NN,TRUE,FALSE,AE,33,0.9,,,0.698,0.001,[0],1
adult,NN,TRUE,FALSE,AE,33,1,,,0.697,0.001,[0],1
adult,NN,TRUE,FALSE,AE,34,0.1,,,0.543,0.101,[1],0
adult,NN,TRUE,FALSE,AE,34,0.2,,,0.646,0.111,[1],0
adult,NN,TRUE,FALSE,AE,34,0.3,,,0.629,0.112,[1],0
adult,NN,TRUE,FALSE,AE,34,0.4,,,0.637,0.119,[1],0
adult,NN,TRUE,FALSE,AE,34,0.5,,,0.663,0.119,[1],0
adult,NN,TRUE,FALSE,AE,34,0.6,,,0.632,0.119,[1],0
adult,NN,TRUE,FALSE,AE,34,0.7,,,0.538,0.118,[1],0
adult,NN,TRUE,FALSE,AE,34,0.8,,,0.636,0.114,[1],0
adult,NN,TRUE,FALSE,AE,34,0.9,,,0.53,0.104,[1],0
adult,NN,TRUE,FALSE,AE,34,1,,,0.631,0.108,[1],0
adult,NN,TRUE,FALSE,AE,35,0.1,,,0.692,0.018,[0],0
adult,NN,TRUE,FALSE,AE,35,0.2,,,0.684,0.016,[0],0
adult,NN,TRUE,FALSE,AE,35,0.3,,,0.69,0.014,[0],0
adult,NN,TRUE,FALSE,AE,35,0.4,,,0.69,0.014,[0],0
adult,NN,TRUE,FALSE,AE,35,0.5,,,0.697,0.014,[0],0
adult,NN,TRUE,FALSE,AE,35,0.6,,,0.674,0.014,[0],0
adult,NN,TRUE,FALSE,AE,35,0.7,,,0.699,0.015,[0],0
adult,NN,TRUE,FALSE,AE,35,0.8,,,0.69,0.014,[0],0
adult,NN,TRUE,FALSE,AE,35,0.9,,,0.66,0.013,[0],0
adult,NN,TRUE,FALSE,AE,35,1,,,0.681,0.013,[0],0
adult,NN,TRUE,FALSE,AE,36,0.1,,,0.549,0,[0],0
adult,NN,TRUE,FALSE,AE,36,0.2,,,0.654,0,[0],0
adult,NN,TRUE,FALSE,AE,36,0.3,,,0.65,0,[0],0
adult,NN,TRUE,FALSE,AE,36,0.4,,,0.662,0,[0],0
adult,NN,TRUE,FALSE,AE,36,0.5,,,0.653,0,[0],0
adult,NN,TRUE,FALSE,AE,36,0.6,,,0.645,0,[0],0
adult,NN,TRUE,FALSE,AE,36,0.7,,,0.642,0,[0],0
adult,NN,TRUE,FALSE,AE,36,0.8,,,0.661,0,[0],0
adult,NN,TRUE,FALSE,AE,36,0.9,,,0.65,0,[0],0
adult,NN,TRUE,FALSE,AE,36,1,,,0.653,0,[0],0
adult,NN,TRUE,FALSE,AE,37,0.1,,,0.651,0,[0],0
adult,NN,TRUE,FALSE,AE,37,0.2,,,0.67,0,[0],0
adult,NN,TRUE,FALSE,AE,37,0.3,,,0.653,0,[0],0
adult,NN,TRUE,FALSE,AE,37,0.4,,,0.658,0,[0],0
adult,NN,TRUE,FALSE,AE,37,0.5,,,0.647,0,[0],0
adult,NN,TRUE,FALSE,AE,37,0.6,,,0.671,0.001,[0],0
adult,NN,TRUE,FALSE,AE,37,0.7,,,0.659,0.001,[0],0
adult,NN,TRUE,FALSE,AE,37,0.8,,,0.659,0,[0],0
adult,NN,TRUE,FALSE,AE,37,0.9,,,0.661,0,[0],0
adult,NN,TRUE,FALSE,AE,37,1,,,0.66,0,[0],0
adult,NN,TRUE,FALSE,AE,38,0.1,,,0.628,0.047,[0],1
adult,NN,TRUE,FALSE,AE,38,0.2,,,0.631,0.043,[0],1
adult,NN,TRUE,FALSE,AE,38,0.3,,,0.634,0.045,[0],1
adult,NN,TRUE,FALSE,AE,38,0.4,,,0.623,0.041,[0],1
adult,NN,TRUE,FALSE,AE,38,0.5,,,0.635,0.045,[0],1
adult,NN,TRUE,FALSE,AE,38,0.6,,,0.657,0.046,[0],1
adult,NN,TRUE,FALSE,AE,38,0.7,,,0.622,0.04,[0],1
adult,NN,TRUE,FALSE,AE,38,0.8,,,0.623,0.046,[0],1
adult,NN,TRUE,FALSE,AE,38,0.9,,,0.622,0.044,[0],1
adult,NN,TRUE,FALSE,AE,38,1,,,0.632,0.048,[0],1
adult,NN,TRUE,FALSE,AE,39,0.1,,,0.67,0.003,[0],0
adult,NN,TRUE,FALSE,AE,39,0.2,,,0.673,0.004,[0],0
adult,NN,TRUE,FALSE,AE,39,0.3,,,0.66,0.003,[0],0
adult,NN,TRUE,FALSE,AE,39,0.4,,,0.67,0.003,[0],0
adult,NN,TRUE,FALSE,AE,39,0.5,,,0.653,0.002,[0],0
adult,NN,TRUE,FALSE,AE,39,0.6,,,0.673,0.002,[0],0
adult,NN,TRUE,FALSE,AE,39,0.7,,,0.671,0.003,[0],0
adult,NN,TRUE,FALSE,AE,39,0.8,,,0.649,0.002,[0],0
adult,NN,TRUE,FALSE,AE,39,0.9,,,0.667,0.003,[0],0
adult,NN,TRUE,FALSE,AE,39,1,,,0.646,0.004,[0],0
adult,NN,TRUE,FALSE,AE,4,0.1,,,0.617,0.081,[1],1
adult,NN,TRUE,FALSE,AE,4,0.2,,,0.639,0.085,[1],1
adult,NN,TRUE,FALSE,AE,4,0.3,,,0.647,0.092,[1],1
adult,NN,TRUE,FALSE,AE,4,0.4,,,0.616,0.08,[1],1
adult,NN,TRUE,FALSE,AE,4,0.5,,,0.53,0.091,[1],1
adult,NN,TRUE,FALSE,AE,4,0.6,,,0.545,0.081,[1],1
adult,NN,TRUE,FALSE,AE,4,0.7,,,0.63,0.083,[1],1
adult,NN,TRUE,FALSE,AE,4,0.8,,,0.668,0.082,[1],1
adult,NN,TRUE,FALSE,AE,4,0.9,,,0.643,0.081,[1],1
adult,NN,TRUE,FALSE,AE,4,1,,,0.632,0.085,[1],1
