,dataset,weighting_fn,epoch_num,latent_size,num_samples,select_percent,instance_no,predict_label,label,r2,mse,element1,element3,process_time,target_model,local_output,Active_latent_dim,L1,L2,RSS,TSS,WRSR,auto_encoder_latent_dim
0,adult_one_hot,CVAE,1000,2,5000,100,25,[0],1,0.885,0.004,1,0,150.5,NN,0.107321955,2,5.18684566,1.396702178,6.641161586,57.66987425,0.807915645,2
0,adult_one_hot,CVAE,1000,2,5000,100,26,[1],1,0.964,0.056,1,0,130.5,NN,0.374246001,1,5.03431956,0.859509623,1.460950551,40.29048835,0.732837606,2
0,adult_one_hot,CVAE,1000,2,5000,100,27,[1],1,0.929,0.016,1,0,96.7,NN,0.365929008,1,5.639189895,0.958559529,11.91747091,167.2907641,0.821076351,2
0,adult_one_hot,CVAE,1000,2,5000,100,28,[0],0,0.803,0.054,1,0,121.5,NN,0.406987101,2,1.76354986,0.335439041,0.649949257,3.302553709,0.697298886,2
0,adult_one_hot,CVAE,1000,2,5000,100,29,[0],0,0.854,0.002,1,0,119,NN,0.009379586,2,3.300661038,0.774604323,5.104519346,35.02956612,0.787257055,2
0,adult_one_hot,CVAE,1000,2,5000,100,30,[1],1,0.921,0.026,1,0,102.4,NN,0.457528949,1,5.264049511,0.937668994,15.05302553,191.4463838,0.845500409,2
0,adult_one_hot,CVAE,1000,2,5000,100,31,[0],0,0.91,0.058,1,0,100.3,NN,0.412958801,2,6.242937759,1.675368231,7.114719786,79.24752117,0.818385943,2
0,adult_one_hot,CVAE,1000,2,5000,100,32,[1],1,0.958,0.223,1,0,149.8,NN,0.070501208,2,5.944472325,0.953041534,3.959603517,93.27920521,0.72363179,2
0,adult_one_hot,CVAE,1000,2,5000,100,33,[0],0,0.845,0.009,1,0,64.8,NN,0.004906174,2,3.200848218,0.647250252,5.156941563,33.1831525,0.783863448,2
0,adult_one_hot,CVAE,1000,2,5000,100,34,[0],0,0.818,0,1,0,188.2,NN,0.000439331,2,3.77596093,0.804778379,2.260238711,12.44709155,0.718179348,2
0,adult_one_hot,CVAE,1000,2,5000,100,35,[0],0,0.89,0,1,0,190.7,NN,0.005665987,2,6.063587209,1.410053787,4.76117687,43.38366907,0.783342407,2
0,adult_one_hot,CVAE,1000,2,5000,100,36,[0],0,0.813,0.001,1,0,166.8,NN,0.088870473,2,1.950210262,0.345237342,1.163427936,6.206201428,0.712108805,2
0,adult_one_hot,CVAE,1000,2,5000,100,37,[0],1,0.877,0.046,1,0,88.6,NN,0.393408149,2,4.568204159,1.2560606,7.169452639,58.3640837,0.814930946,2
0,adult_one_hot,CVAE,1000,2,5000,100,38,[0],0,0.697,0,1,0,65.4,NN,4.883E-05,2,2.279244481,0.448915693,1.15430524,3.813058252,0.610092308,2
0,adult_one_hot,CVAE,1000,2,5000,100,39,[0],0,0.91,0.006,1,0,71,NN,0.022502074,2,6.344436964,1.690938096,7.294040771,81.01993405,0.818456632,2
0,adult_one_hot,CVAE,1000,2,5000,100,40,[0],0,0.856,0,1,0,55.4,NN,0.001054904,2,4.557395325,1.027105145,3.537151317,24.52724853,0.765243129,2
0,adult_one_hot,CVAE,1000,2,5000,100,41,[0],0,0.868,0.002,1,0,121.7,NN,0.014970413,2,5.153275953,1.173254822,4.018825717,30.3889642,0.771693007,2
0,adult_one_hot,CVAE,1000,2,5000,100,42,[0],0,0.854,0,1,0,88.9,NN,0.047110222,2,4.238848657,0.942271896,3.426582406,23.48921143,0.746459273,2
0,adult_one_hot,CVAE,1000,2,5000,100,43,[0],0,0.8,0,1,0,108,NN,0.000165383,2,2.919690214,0.60669262,1.716060072,8.581078096,0.653058194,2
0,adult_one_hot,CVAE,1000,2,5000,100,44,[0],1,0.883,0.079,1,0,86,NN,0.435971648,2,4.988420765,1.261361846,8.861052649,76.04078916,0.824589013,2
0,adult_one_hot,CVAE,1000,2,5000,100,45,[0],0,0.815,0.006,1,0,167.3,NN,0.000337806,2,3.485614156,0.73182797,1.884225279,10.19960304,0.718191424,2
0,adult_one_hot,CVAE,1000,2,5000,100,46,[1],1,0.923,0.005,1,0,129.6,NN,0.352532148,1,5.201284633,0.922937561,12.4571087,162.5522785,0.814931571,2
0,adult_one_hot,CVAE,1000,2,5000,100,47,[0],0,0.692,0,1,0,130.8,NN,1.11334E-05,1,1.761916416,0.354617645,0.833221509,2.708890902,0.661582542,2
0,adult_one_hot,CVAE,1000,2,5000,100,48,[0],0,0.859,0.004,1,0,114.9,NN,0.113044828,2,4.026932066,0.891487439,7.146249983,50.67383801,0.800285433,2
0,adult_one_hot,CVAE,1000,2,5000,100,49,[1],0,0.939,0.027,1,0,99.2,NN,0.400569618,0,3.898193896,0.779453818,5.492720819,90.04891962,0.745078187,2
0,adult_one_hot,CVAE,1000,2,5000,100,50,[0],0,0.87,0.001,1,0,76.5,NN,0.001677739,2,5.41595092,1.233154472,4.126587384,31.80072464,0.764954097,2
0,adult_one_hot,CVAE,1000,2,5000,100,51,[0],0,0.833,0.001,1,0,61.9,NN,0.004312415,2,2.174069993,0.393592158,2.433457431,14.5439614,0.731716986,2
0,adult_one_hot,CVAE,1000,2,5000,100,52,[0],0,0.933,0.028,1,0,110.7,NN,0.069561735,2,7.513526952,1.939095218,8.748290108,130.1352101,0.841872474,2
0,adult_one_hot,CVAE,1000,2,5000,100,53,[0],0,0.871,0.001,1,0,86.6,NN,0.012912667,2,4.375153215,0.940377579,8.596070536,66.47710316,0.806490739,2
0,adult_one_hot,CVAE,1000,2,5000,100,54,[0],0,0.882,0.019,1,0,38.1,NN,0.012652857,1,4.727534245,1.276923472,6.849442492,57.97464966,0.818342984,2
0,adult_one_hot,CVAE,1000,2,5000,100,55,[1],0,0.963,0.009,1,0,78.8,NN,0.444923043,0,4.411303709,0.78849962,1.494662239,40.0801833,0.722354434,2
0,adult_one_hot,CVAE,1000,2,5000,100,56,[0],0,0.856,0.001,1,0,72.2,NN,0.078023322,2,3.751455171,0.917630241,5.072451605,35.14110072,0.783889855,2
0,adult_one_hot,CVAE,1000,2,5000,100,57,[0],1,0.917,0.004,1,0,28.6,NN,0.432007581,2,6.664907676,1.539211096,11.02674425,132.3201668,0.834820096,2
0,adult_one_hot,CVAE,1000,2,5000,100,58,[0],0,0.864,0,1,0,51.4,NN,0.001301984,2,5.663031946,1.24619019,4.023903233,29.59186089,0.759484808,2
0,adult_one_hot,CVAE,1000,2,5000,100,59,[0],0,0.88,0.026,1,0,130.6,NN,0.290880471,2,4.771798004,1.241401714,5.887223267,49.05320246,0.800145717,2
0,adult_one_hot,CVAE,1000,2,5000,100,60,[0],0,0.836,0.008,1,0,50.7,NN,0.028090172,2,3.9184126,0.851933057,2.615782825,15.94897907,0.716120019,2
0,adult_one_hot,CVAE,1000,2,5000,100,61,[0],0,0.87,0.008,1,0,82.7,NN,0.0053542,2,5.163002144,1.199159975,4.254008387,32.73222998,0.764791253,2
0,adult_one_hot,CVAE,1000,2,5000,100,62,[0],1,0.837,0.116,1,0,58.5,NN,0.484077305,1,2.804817766,0.608790869,3.229353539,19.86041848,0.755010448,2
0,adult_one_hot,CVAE,1000,2,5000,100,63,[0],0,0.836,0,1,0,74.8,NN,0.0001595,2,2.189028967,0.383981323,2.817322636,17.19699442,0.733111002,2
0,adult_one_hot,CVAE,1000,2,5000,100,64,[0],0,0.802,0,1,0,77.3,NN,3.16679E-05,1,1.714800791,0.333263889,0.624037958,3.150501739,0.687934919,2
0,adult_one_hot,CVAE,1000,2,5000,100,65,[1],1,0.934,0.028,1,0,52.7,NN,0.037483811,2,3.902137019,0.67105356,9.274575426,141.2334544,0.822402859,2
0,adult_one_hot,CVAE,1000,2,5000,100,66,[0],0,0.842,0.001,1,0,9.8,NN,9.74127E-05,1,3.787134439,0.84805006,3.207637651,20.32557309,0.747576367,2
0,adult_one_hot,CVAE,1000,2,5000,100,67,[0],0,0.935,0,1,0,68.2,NN,0.017455909,1,7.803642361,1.962183095,8.485195472,130.3512579,0.84048911,2
0,adult_one_hot,CVAE,1000,2,5000,100,68,[1],1,0.919,0.012,1,0,40,NN,0.215933859,1,5.516683121,0.989410918,15.89979944,195.1252025,0.849298362,2
0,adult_one_hot,CVAE,1000,2,5000,100,69,[0],0,0.885,0.064,1,0,63.2,NN,0.014160527,1,5.066267639,1.169879081,10.08692354,87.45435964,0.819202673,2
0,adult_one_hot,CVAE,1000,2,5000,100,70,[0],0,0.837,0.014,1,0,46.8,NN,0.333307207,1,2.722601147,0.55545559,3.202034037,19.59146956,0.760858914,2
0,adult_one_hot,CVAE,1000,2,5000,100,71,[1],0,0.922,0.029,1,0,64.2,NN,0.270474672,1,4.787295104,0.957461328,18.63621014,237.4345158,0.863853442,2
0,adult_one_hot,CVAE,1000,2,5000,100,72,[1],1,0.918,0.045,1,0,13.6,NN,0.149288952,1,6.043108029,1.052143662,16.47625841,201.5444635,0.848071257,2
0,adult_one_hot,CVAE,1000,2,5000,100,73,[0],0,0.829,0.04,1,0,47.7,NN,0.311945289,2,2.542021716,0.507896203,3.404256908,19.90856207,0.759463037,2
0,adult_one_hot,CVAE,1000,2,5000,100,74,[0],0,0.902,0.001,1,0,9.3,NN,0.128949612,2,5.841066867,1.618668401,8.966867448,91.07705855,0.839789654,2
0,adult_one_hot,CVAE,1000,2,5000,100,75,[1],1,0.922,0.001,1,0,53.7,NN,5.96046E-08,2,5.465815249,1.092032153,15.96253392,205.4888044,0.825488088,2
0,adult_one_hot,CVAE,1000,2,5000,100,76,[1],1,0.922,0.002,1,0,11.8,NN,0.011061907,1,5.141829356,0.997873847,20.79829659,267.8806089,0.889169577,2
0,adult_one_hot,CVAE,1000,2,5000,100,77,[0],0,0.775,0,1,0,34.2,NN,1.03321E-05,1,3.702090484,0.745841756,2.059303114,9.154792996,0.682814771,2
0,adult_one_hot,CVAE,1000,2,5000,100,78,[0],0,0.883,0,1,0,62.3,NN,0.013996978,1,5.393392558,1.358136856,5.310015514,45.36696284,0.791648668,2
0,adult_one_hot,CVAE,1000,2,5000,100,79,[0],0,0.84,0.002,1,0,69.4,NN,0.045813665,2,3.067418674,0.713431744,4.427653052,27.65572863,0.780829979,2
0,adult_one_hot,CVAE,1000,2,5000,100,80,[0],1,0.937,0.02,1,0,63.5,NN,0.488330841,2,7.731152064,1.908322116,8.840757855,139.4289122,0.837827163,2
0,adult_one_hot,CVAE,1000,2,5000,100,81,[1],1,0.923,0.062,1,0,60.8,NN,0.263094962,1,5.661573629,0.990228328,14.95859667,193.2570372,0.841699793,2
0,adult_one_hot,CVAE,1000,2,5000,100,82,[1],1,0.906,0.011,1,0,74,NN,0.481938899,2,6.622340019,1.106752715,18.2281612,193.3036009,0.855557618,2
0,adult_one_hot,CVAE,1000,2,5000,100,83,[0],0,0.935,0.066,1,0,56.6,NN,0.148218334,2,7.547258803,1.935920268,7.685883599,118.2368235,0.832714395,2
0,adult_one_hot,CVAE,1000,2,5000,100,84,[0],0,0.876,0.001,1,0,40.2,NN,0.002534718,1,4.458293774,1.206449847,6.63710269,53.47551663,0.812939099,2
0,adult_one_hot,CVAE,1000,2,5000,100,85,[0],0,0.862,0,1,0,40.4,NN,0.000572423,2,5.445306877,1.183896819,3.724511307,26.96035767,0.750282582,2
0,adult_one_hot,CVAE,1000,2,5000,100,86,[0],0,0.849,0,1,0,17.4,NN,0.000555409,2,3.316405056,0.835584367,5.387593374,35.64828169,0.796036671,2
0,adult_one_hot,CVAE,1000,2,5000,100,87,[0],0,0.953,0.129,1,0,13.3,NN,0.010624024,2,8.377254293,1.950532564,6.899884268,145.5478119,0.824724577,2
0,adult_one_hot,CVAE,1000,2,5000,100,88,[0],1,0.931,0,1,0,40,NN,0.09647914,2,7.62921771,1.96657872,8.408847955,122.6673003,0.837298129,2
0,adult_one_hot,CVAE,1000,2,5000,100,89,[0],0,0.853,0.013,1,0,67.9,NN,0.201182529,2,3.962530352,0.927575396,4.567599045,31.15480357,0.777756886,2
0,adult_one_hot,CVAE,1000,2,5000,100,90,[0],0,0.847,0,1,0,39.9,NN,0.050593648,2,3.410189921,0.755807805,5.750368025,37.59448927,0.784042072,2
0,adult_one_hot,CVAE,1000,2,5000,100,91,[1],1,0.924,0.015,1,0,10,NN,0.446262002,1,4.085300588,0.847492836,15.91417389,208.1896353,0.860877265,2
0,adult_one_hot,CVAE,1000,2,5000,100,92,[0],1,0.862,0.002,1,0,23.9,NN,0.393970639,2,4.010767891,1.015695947,7.782084651,56.41680931,0.808237896,2
0,adult_one_hot,CVAE,1000,2,5000,100,93,[0],1,0.835,0.001,1,0,24.1,NN,0.113450326,1,2.984438612,0.628757984,2.110815157,12.78780503,0.730759313,2
0,adult_one_hot,CVAE,1000,2,5000,100,94,[0],0,0.851,0.033,1,0,38.5,NN,0.310988456,2,2.399240093,0.397860897,3.889313885,26.16042552,0.757284195,2
0,adult_one_hot,CVAE,1000,2,5000,100,95,[0],1,0.937,0.004,1,0,8.4,NN,0.358168155,2,7.744597169,1.945676405,8.61639793,136.3994731,0.838330848,2
0,adult_one_hot,CVAE,1000,2,5000,100,96,[1],1,0.929,0.011,1,0,52.5,NN,0.46276933,2,6.047686301,0.975487617,11.0277091,155.3256285,0.807589612,2
0,adult_one_hot,CVAE,1000,2,5000,100,97,[1],1,0.931,0.181,1,0,33.6,NN,0.043189228,1,4.248840416,0.897797954,15.57962609,225.9670299,0.859080562,2
0,adult_one_hot,CVAE,1000,2,5000,100,98,[0],0,0.893,0.007,1,0,58.8,NN,0.003677751,2,6.224040649,1.4979115,5.487557972,51.35628362,0.784779151,2
0,adult_one_hot,CVAE,1000,2,5000,100,99,[0],0,0.865,0.021,1,0,9.5,NN,0.215017006,2,4.038951599,0.961287177,4.751855187,35.12121543,0.779429337,2
0,adult_one_hot,CVAE,1000,2,5000,100,0,[0],1,0.804,0.002,1,0,54.4,RF,0.13,2,9.922022506,1.772882727,41.62761138,212.7811609,0.866725085,2
0,adult_one_hot,CVAE,1000,2,5000,100,1,[0],0,0.827,0.004,1,0,61.5,RF,0.18,2,7.847755217,1.532964844,25.17322542,145.323045,0.878313759,2
0,adult_one_hot,CVAE,1000,2,5000,100,2,[0],1,0.808,0,1,0,51.4,RF,0.28,1,6.304291892,1.262964862,21.51346866,111.8442651,0.876233114,2
0,adult_one_hot,CVAE,1000,2,5000,100,3,[0],0,0.824,0,1,0,59.6,RF,0.05,2,7.419526477,1.450056729,22.79107322,129.1675463,0.88219432,2
0,adult_one_hot,CVAE,1000,2,5000,100,4,[0],0,0.796,0.045,1,0,43.2,RF,0.07,2,10.16838005,1.845554791,45.49797597,222.6077208,0.873247338,2
0,adult_one_hot,CVAE,1000,2,5000,100,5,[0],1,0.831,0.073,1,0,96,RF,0.13,2,7.831016111,1.589719251,27.90529801,164.8494092,0.875699815,2
0,adult_one_hot,CVAE,1000,2,5000,100,6,[0],0,0.832,0.067,1,0,54.1,RF,0.04,2,7.800200803,1.572659996,26.46966362,157.9387529,0.87631064,2
0,adult_one_hot,CVAE,1000,2,5000,100,7,[0],0,0.803,0.079,1,0,72,RF,0,2,8.415813945,1.694780546,35.5928767,180.588019,0.882716374,2
0,adult_one_hot,CVAE,1000,2,5000,100,8,[0],0,0.808,0.008,1,0,86.4,RF,0.12,2,6.023521567,1.249198228,17.74874497,92.53756396,0.866726503,2
0,adult_one_hot,CVAE,1000,2,5000,100,9,[0],0,0.83,0.037,1,0,153.3,RF,0.12,2,8.467348639,1.647972384,31.85320658,187.5194507,0.87491856,2
0,adult_one_hot,CVAE,1000,2,5000,100,10,[0],0,0.845,0.005,1,0,98,RF,0,2,6.589998035,1.212983571,11.5913028,74.91122928,0.839815651,2
0,adult_one_hot,CVAE,1000,2,5000,100,11,[0],1,0.811,0.001,1,0,115.6,RF,0.04,2,8.770158445,1.712187748,37.99444535,200.669546,0.883566302,2
0,adult_one_hot,CVAE,1000,2,5000,100,12,[0],0,0.819,0,1,0,110.8,RF,0.03,2,6.425314307,1.276800355,22.95993308,127.1851305,0.84680769,2
0,adult_one_hot,CVAE,1000,2,5000,100,13,[0],0,0.837,0,1,0,93.2,RF,0,2,3.655580581,0.645567583,3.19650347,19.65949734,0.727571307,2
0,adult_one_hot,CVAE,1000,2,5000,100,14,[0],0,0.844,0,1,0,80.2,RF,0,2,7.125489181,1.401301642,17.3273944,111.1226907,0.879430506,2
0,adult_one_hot,CVAE,1000,2,5000,100,15,[0],0,0.802,0,1,0,64.9,RF,0.28,2,9.599997225,1.740200048,41.91622682,212.0531651,0.865348083,2
0,adult_one_hot,CVAE,1000,2,5000,100,16,[1],0,0.775,0.003,1,0,80.6,RF,0.39,1,3.118050801,0.625213272,22.85023069,101.5106744,0.857507288,2
0,adult_one_hot,CVAE,1000,2,5000,100,17,[0],0,0.803,0,1,0,62.9,RF,0.01,2,7.58915797,1.571166774,32.17563471,163.6913948,0.874269596,2
0,adult_one_hot,CVAE,1000,2,5000,100,18,[0],0,0.824,0.098,1,0,78.7,RF,0.01,2,9.440304214,1.742165192,35.72641925,203.384802,0.851541536,2
0,adult_one_hot,CVAE,1000,2,5000,100,19,[0],0,0.807,0,1,0,83.5,RF,0,2,2.418881957,0.517397416,2.472429029,12.80234419,0.676306242,2
0,adult_one_hot,CVAE,1000,2,5000,100,20,[0],1,0.797,0.103,1,0,233.3,RF,0.5,2,8.539934368,1.716962627,36.7650415,180.991074,0.879635709,2
0,adult_one_hot,CVAE,1000,2,5000,100,21,[1],1,0.798,0.117,1,0,205.2,RF,0.12,2,3.039409701,0.567958533,32.88244624,163.1584001,0.899824474,2
0,adult_one_hot,CVAE,1000,2,5000,100,22,[1],1,0.808,0.01,1,0,177.7,RF,0.18,1,2.615769234,0.545904144,34.37801302,179.1304256,0.913417836,2
0,adult_one_hot,CVAE,1000,2,5000,100,23,[0],1,0.797,0.121,1,0,135.4,RF,0.11,2,10.48057165,1.866781841,46.65023865,230.1264612,0.875995698,2
0,adult_one_hot,CVAE,1000,2,5000,100,24,[0],1,0.72,0.02,1,0,81.1,RF,0.23,2,10.73732465,1.823142591,54.09013899,193.4580435,0.883145272,2
0,adult_one_hot,CVAE,1000,2,5000,100,25,[0],1,0.832,0.015,1,0,118.3,RF,0.01,2,7.970399866,1.56067303,28.20911683,167.6470711,0.878504932,2
0,adult_one_hot,CVAE,1000,2,5000,100,26,[1],1,0.581,0.025,1,0,140.2,RF,0.36,1,4.156264452,0.692027545,15.51155717,37.06275456,0.866001987,2
0,adult_one_hot,CVAE,1000,2,5000,100,27,[1],1,0.793,0.024,1,0,93.3,RF,0.13,1,2.903677357,0.55074632,30.06438632,145.4705442,0.891465545,2
0,adult_one_hot,CVAE,1000,2,5000,100,28,[0],0,0.857,0.02,1,0,118.1,RF,0.29,2,6.76164183,1.203883286,9.033018921,63.38586044,0.844238604,2
0,adult_one_hot,CVAE,1000,2,5000,100,29,[0],0,0.811,0.037,1,0,66.2,RF,0,2,7.280355256,1.500706205,27.27184987,144.5006966,0.887392631,2
0,adult_one_hot,CVAE,1000,2,5000,100,30,[0],1,0.75,0.029,1,0,107.9,RF,0.36,2,11.11206326,1.997403137,60.20693817,240.4948681,0.903716177,2
0,adult_one_hot,CVAE,1000,2,5000,100,31,[1],0,0.797,0.021,1,0,98.2,RF,0.34,1,2.893051587,0.576243709,27.27984953,134.6955943,0.873796073,2
0,adult_one_hot,CVAE,1000,2,5000,100,32,[1],1,0.7,0.117,1,0,80.4,RF,0.04,2,3.232727488,0.574373049,21.28086901,71.04789839,0.848597684,2
0,adult_one_hot,CVAE,1000,2,5000,100,33,[0],0,0.805,0.007,1,0,189.4,RF,0.08,2,7.22244203,1.455234789,26.51844976,135.8281504,0.868867808,2
0,adult_one_hot,CVAE,1000,2,5000,100,34,[0],0,0.849,0.003,1,0,132.2,RF,0,2,6.881786935,1.296106722,11.5687558,76.69134045,0.83229754,2
0,adult_one_hot,CVAE,1000,2,5000,100,35,[0],0,0.851,0,1,0,116,RF,0,2,7.370428519,1.429312302,17.72714192,118.7680153,0.84040104,2
0,adult_one_hot,CVAE,1000,2,5000,100,36,[0],0,0.807,0.005,1,0,125.9,RF,0.08,2,6.506744635,1.227401386,14.8218604,76.86382037,0.872312593,2
0,adult_one_hot,CVAE,1000,2,5000,100,37,[0],1,0.809,0,1,0,136.6,RF,0.34,2,8.207562138,1.655782335,32.71520465,171.6895957,0.879776581,2
0,adult_one_hot,CVAE,1000,2,5000,100,38,[0],0,0.798,0,1,0,72.1,RF,0.01,2,3.349534188,0.646784688,3.893710353,19.23721209,0.713084299,2
0,adult_one_hot,CVAE,1000,2,5000,100,39,[0],0,0.833,0,1,0,127.3,RF,0.04,2,8.807269785,1.708013644,31.82578422,190.9530074,0.857596654,2
0,adult_one_hot,CVAE,1000,2,5000,100,40,[0],0,0.85,0,1,0,117.7,RF,0,2,7.319954905,1.420415115,17.50558269,117.0894377,0.859813053,2
0,adult_one_hot,CVAE,1000,2,5000,100,41,[0],0,0.851,0.039,1,0,138.5,RF,0,2,7.622124459,1.472030242,18.52171048,123.9078278,0.854554394,2
0,adult_one_hot,CVAE,1000,2,5000,100,42,[0],0,0.844,0.007,1,0,87.1,RF,0.15,2,7.389843035,1.424652267,18.25337758,116.9113293,0.870516757,2
0,adult_one_hot,CVAE,1000,2,5000,100,43,[0],0,0.807,0,1,0,100.4,RF,0.01,2,2.899393852,0.617642759,4.612320474,23.91430492,0.712121432,2
0,adult_one_hot,CVAE,1000,2,5000,100,44,[1],1,0.774,0.001,1,0,67.5,RF,0.39,1,2.628160524,0.523286502,23.30335073,103.0785434,0.856457628,2
0,adult_one_hot,CVAE,1000,2,5000,100,45,[0],0,0.845,0,1,0,167.5,RF,0,2,6.150636025,1.121293523,9.721408484,62.82423049,0.828331905,2
0,adult_one_hot,CVAE,1000,2,5000,100,46,[1],1,0.798,0.071,1,0,123.9,RF,0.39,1,2.8152919,0.53991998,27.88089784,137.8209052,0.883798176,2
0,adult_one_hot,CVAE,1000,2,5000,100,47,[0],0,0.821,0,1,0,73.2,RF,0,1,2.921834653,0.605712524,3.321802357,18.53934359,0.668775011,2
0,adult_one_hot,CVAE,1000,2,5000,100,48,[0],0,0.801,0.009,1,0,82,RF,0.16,2,7.660352944,1.514540501,30.14783322,151.5042757,0.879181607,2
0,adult_one_hot,CVAE,1000,2,5000,100,49,[0],0,0.825,0.049,1,0,108.6,RF,0.27,1,7.876473535,1.562380522,27.37379422,156.5012531,0.881141492,2
0,adult_one_hot,CVAE,1000,2,5000,100,50,[0],0,0.848,0.006,1,0,135,RF,0,2,7.495332915,1.434000137,17.27910391,113.6802769,0.840873875,2
0,adult_one_hot,CVAE,1000,2,5000,100,51,[0],0,0.811,0.002,1,0,75.6,RF,0.01,2,5.923638271,1.241728142,18.31655237,96.94339485,0.857929613,2
0,adult_one_hot,CVAE,1000,2,5000,100,52,[1],0,0.805,0,1,0,111.9,RF,0.38,1,2.733584825,0.550184548,32.64456859,167.2943093,0.906672386,2
0,adult_one_hot,CVAE,1000,2,5000,100,53,[0],0,0.797,0.025,1,0,87.2,RF,0.01,2,8.408972725,1.642113385,33.73952689,166.4379916,0.869274811,2
