Comparison,Significance,LatentDim,Dataset,TargetModel,TStatistic,PValue,Value
LIME_vs_CVAE,1,6,breastcancer,RF,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,breastcancer,SVM,9579.0,4.7184059255252255e-29,WRSR
LIME_vs_CVAE,1,6,breastcancer,SVM,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,0,6,liver,NN,5672.0,0.10085230378791062,WRSR
LIME_vs_CVAE,1,6,liver,NN,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,liver,RF,6765.0,1.6225371799112336e-05,WRSR
LIME_vs_CVAE,1,6,liver,RF,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,0,6,liver,SVM,5697.0,0.08878904863196027,WRSR
LIME_vs_CVAE,1,6,liver,SVM,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,0,6,wine,NN,5177.0,0.6662806847264114,WRSR
LIME_vs_CVAE,1,6,wine,NN,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,wine,RF,6174.0,0.00413968320136324,WRSR
LIME_vs_CVAE,1,6,wine,RF,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,wine,SVM,6334.0,0.0011209801363430494,WRSR
LIME_vs_CVAE,1,6,wine,SVM,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,credit_one_hot,NN,9699.0,1.657760912703849e-30,WRSR
LIME_vs_CVAE,1,6,credit_one_hot,NN,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,credit_one_hot,RF,8443.0,4.0526214242703533e-17,WRSR
LIME_vs_CVAE,1,6,credit_one_hot,RF,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,credit_one_hot,SVM,9553.0,9.638374632267726e-29,WRSR
LIME_vs_CVAE,1,6,credit_one_hot,SVM,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,0,6,adult_one_hot,NN,4767.0,0.569975272451329,WRSR
LIME_vs_CVAE,1,6,adult_one_hot,NN,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,adult_one_hot,RF,3266.0,2.2792738454380054e-05,WRSR
LIME_vs_CVAE,1,6,adult_one_hot,RF,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,adult_one_hot,SVM,6281.0,0.0017554594391612688,WRSR
LIME_vs_CVAE,1,6,adult_one_hot,SVM,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,breastcancer,NN,9739.0,5.2936683748588705e-31,r2
LIME_vs_CVAE,1,6,breastcancer,NN,2445.0,4.328013467435227e-10,r2
VAE_vs_CVAE,1,6,breastcancer,RF,9596.5,2.889435813053968e-29,r2
LIME_vs_CVAE,1,6,breastcancer,RF,734.5,1.985351648688974e-25,r2
VAE_vs_CVAE,1,6,breastcancer,SVM,9810.5,6.776516114214724e-32,r2
LIME_vs_CVAE,1,6,breastcancer,SVM,2801.5,7.846414990406768e-08,r2
VAE_vs_CVAE,1,6,liver,NN,6157.0,0.004708949526084503,r2
LIME_vs_CVAE,1,6,liver,NN,0.0,2.5496171399859843e-34,r2
VAE_vs_CVAE,0,6,liver,RF,5755.5,0.06506591533562213,r2
LIME_vs_CVAE,1,6,liver,RF,18.0,4.385202428573327e-34,r2
VAE_vs_CVAE,0,6,liver,SVM,4967.0,0.9367048648529789,r2
LIME_vs_CVAE,1,6,liver,SVM,0.0,2.557529260363645e-34,r2
VAE_vs_CVAE,0,6,wine,NN,5434.0,0.28949371776204036,r2
LIME_vs_CVAE,1,6,wine,NN,6.0,3.0631233488601768e-34,r2
VAE_vs_CVAE,0,6,wine,RF,4947.5,0.8988933357746334,r2
LIME_vs_CVAE,1,6,wine,RF,265.5,6.0417636485576655e-31,r2
VAE_vs_CVAE,0,6,wine,SVM,5686.0,0.09392839096680747,r2
LIME_vs_CVAE,1,6,wine,SVM,0.0,2.5563769228179258e-34,r2
VAE_vs_CVAE,1,6,credit_one_hot,NN,9677.5,2.97568341182991e-30,r2
LIME_vs_CVAE,1,6,credit_one_hot,NN,69.0,1.9889603823652934e-33,r2
VAE_vs_CVAE,1,6,credit_one_hot,RF,9415.5,3.917024192430113e-27,r2
LIME_vs_CVAE,1,6,credit_one_hot,RF,10000.0,2.4724920651856638e-34,r2
VAE_vs_CVAE,1,6,credit_one_hot,SVM,7484.5,1.2677999460871732e-09,r2
LIME_vs_CVAE,1,6,credit_one_hot,SVM,2123.0,2.0710330035014245e-12,r2
VAE_vs_CVAE,1,6,adult_one_hot,NN,8652.0,4.557702051173972e-19,r2
LIME_vs_CVAE,1,6,adult_one_hot,NN,539.5,1.1749515838118634e-27,r2
VAE_vs_CVAE,1,6,adult_one_hot,RF,9247.0,3.176674032897703e-25,r2
LIME_vs_CVAE,1,6,adult_one_hot,RF,7386.0,5.573225908354597e-09,r2
VAE_vs_CVAE,1,6,adult_one_hot,SVM,7044.5,5.891902977585746e-07,r2
LIME_vs_CVAE,1,6,adult_one_hot,SVM,0.0,2.5344354847389963e-34,r2
VAE_vs_CVAE,1,6,breastcancer,NN,8649.0,4.891195013399314e-19,RSS
LIME_vs_CVAE,1,6,breastcancer,NN,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,1,6,breastcancer,RF,8499.0,1.2502724731062112e-17,RSS
LIME_vs_CVAE,1,6,breastcancer,RF,9836.0,3.2652185994750007e-32,RSS
VAE_vs_CVAE,1,6,breastcancer,SVM,8923.0,9.3183320510056e-22,RSS
LIME_vs_CVAE,1,6,breastcancer,SVM,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,0,6,liver,NN,5017.0,0.9678412644536186,RSS
LIME_vs_CVAE,1,6,liver,NN,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,1,6,liver,RF,6850.0,6.2118386240191e-06,RSS
LIME_vs_CVAE,1,6,liver,RF,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,0,6,liver,SVM,5783.0,0.0558823761350111,RSS
LIME_vs_CVAE,1,6,liver,SVM,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,0,6,wine,NN,5264.0,0.5196837504763338,RSS
LIME_vs_CVAE,1,6,wine,NN,9998.0,2.7207913829411556e-34,RSS
VAE_vs_CVAE,0,6,wine,RF,5506.0,0.21678097888320502,RSS
LIME_vs_CVAE,1,6,wine,RF,9454.0,1.4101470719067837e-27,RSS
VAE_vs_CVAE,0,6,wine,SVM,4800.0,0.6259351579327082,RSS
LIME_vs_CVAE,1,6,wine,SVM,9909.0,3.8489983180194756e-33,RSS
VAE_vs_CVAE,1,6,credit_one_hot,NN,9878.0,9.579572699541495e-33,RSS
LIME_vs_CVAE,1,6,credit_one_hot,NN,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,1,6,credit_one_hot,RF,9683.0,2.603552064023899e-30,RSS
LIME_vs_CVAE,1,6,credit_one_hot,RF,9582.0,4.3440027188584264e-29,RSS
VAE_vs_CVAE,1,6,credit_one_hot,SVM,9856.0,1.823374486553972e-32,RSS
LIME_vs_CVAE,1,6,credit_one_hot,SVM,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,1,6,adult_one_hot,NN,7604.0,1.9997126608091447e-10,RSS
LIME_vs_CVAE,1,6,adult_one_hot,NN,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,1,6,adult_one_hot,RF,7446.0,2.29656545367773e-09,RSS
LIME_vs_CVAE,1,6,adult_one_hot,RF,9943.0,1.4066334977822515e-33,RSS
VAE_vs_CVAE,1,6,adult_one_hot,SVM,9445.0,1.7945150277694187e-27,RSS
LIME_vs_CVAE,1,6,adult_one_hot,SVM,10000.0,2.562143669163401e-34,RSS
VAE_vs_CVAE,1,6,breastcancer,NN,9354.0,1.9985018863133792e-26,TSS
LIME_vs_CVAE,1,6,breastcancer,NN,10000.0,2.562143669163401e-34,TSS
VAE_vs_CVAE,1,6,breastcancer,RF,9293.0,9.782671395001967e-26,TSS
LIME_vs_CVAE,1,6,breastcancer,RF,7534.0,6.004000823037372e-10,TSS
VAE_vs_CVAE,1,6,breastcancer,SVM,9444.0,1.843171090814923e-27,TSS
LIME_vs_CVAE,1,6,breastcancer,SVM,9600.0,2.642241457031199e-29,TSS
VAE_vs_CVAE,0,6,liver,NN,5492.0,0.2297800480846246,TSS
LIME_vs_CVAE,1,6,liver,NN,10000.0,2.562143669163401e-34,TSS
VAE_vs_CVAE,1,6,liver,RF,7132.0,1.9080115489678165e-07,TSS
LIME_vs_CVAE,1,6,liver,RF,9486.0,5.9617265417100045e-28,TSS
VAE_vs_CVAE,1,6,liver,SVM,5896.0,0.028665614575666645,TSS
LIME_vs_CVAE,1,6,liver,SVM,10000.0,2.562143669163401e-34,TSS
VAE_vs_CVAE,0,6,wine,NN,5612.0,0.13514104196514318,TSS
LIME_vs_CVAE,1,6,wine,NN,9863.0,1.4861744528037037e-32,TSS
VAE_vs_CVAE,0,6,wine,RF,5163.0,0.6913300780289535,TSS
LIME_vs_CVAE,1,6,wine,RF,3087.0,2.968588817642469e-06,TSS
VAE_vs_CVAE,0,6,wine,SVM,5601.0,0.14230669291509176,TSS
LIME_vs_CVAE,1,6,wine,SVM,8182.0,7.626122928016905e-15,TSS
VAE_vs_CVAE,1,6,credit_one_hot,NN,9869.0,1.2469523584179836e-32,TSS
LIME_vs_CVAE,1,6,credit_one_hot,NN,10000.0,2.562143669163401e-34,TSS
VAE_vs_CVAE,1,6,credit_one_hot,RF,9680.0,2.8330303739484318e-30,TSS
LIME_vs_CVAE,1,6,credit_one_hot,RF,9747.0,4.240675429529254e-31,TSS
VAE_vs_CVAE,1,6,credit_one_hot,SVM,9798.0,9.813949409144137e-32,TSS
LIME_vs_CVAE,1,6,credit_one_hot,SVM,10000.0,2.562143669163401e-34,TSS
VAE_vs_CVAE,1,6,adult_one_hot,NN,8372.0,1.7528061287276155e-16,TSS
LIME_vs_CVAE,1,6,adult_one_hot,NN,10000.0,2.562143669163401e-34,TSS
VAE_vs_CVAE,1,6,adult_one_hot,RF,8776.0,2.835218947232793e-20,TSS
LIME_vs_CVAE,1,6,adult_one_hot,RF,9999.0,2.640284031487027e-34,TSS
VAE_vs_CVAE,1,6,adult_one_hot,SVM,8416.0,7.097640948957617e-17,TSS
LIME_vs_CVAE,1,6,adult_one_hot,SVM,9790.0,1.2359110747633117e-31,TSS
VAE_vs_CVAE,0,10,MNIST,NN,5600.0,0.14289465486551303,mse
VAE_vs_CVAE,0,10,MNIST,RF,5311.0,0.44804149118725567,mse
VAE_vs_CVAE,1,10,MNIST,SVM,6798.5,1.0958424034737137e-05,mse
VAE_vs_CVAE,1,10,MNIST,NN,8233.5,3.3599130601137675e-17,Active_latent_dim
VAE_vs_CVAE,1,10,MNIST,RF,8243.5,2.8112688655081635e-17,Active_latent_dim
VAE_vs_CVAE,1,10,MNIST,SVM,8243.5,2.8112688655081635e-17,Active_latent_dim
VAE_vs_CVAE,1,10,MNIST,NN,4114.0,0.030493459282643326,L1
VAE_vs_CVAE,0,10,MNIST,RF,5632.0,0.12283075596968869,L1
VAE_vs_CVAE,1,10,MNIST,SVM,6271.0,0.0019071333734445165,L1
VAE_vs_CVAE,1,10,MNIST,NN,7477.0,1.439024670589643e-09,WRSR
VAE_vs_CVAE,1,10,MNIST,RF,6080.0,0.008348557453100728,WRSR
VAE_vs_CVAE,1,10,MNIST,SVM,7651.0,9.405995487269106e-11,WRSR
VAE_vs_CVAE,1,10,MNIST,NN,3346.0,5.334124350925558e-05,r2
VAE_vs_CVAE,0,10,MNIST,RF,4630.0,0.3665871039714621,r2
VAE_vs_CVAE,1,10,MNIST,SVM,2868.0,1.904019538501536e-07,r2
VAE_vs_CVAE,1,10,MNIST,NN,7011.0,8.995296218561975e-07,RSS
VAE_vs_CVAE,1,10,MNIST,RF,6368.0,0.000833767662128039,RSS
VAE_vs_CVAE,1,10,MNIST,SVM,8190.0,6.533884966513985e-15,RSS
VAE_vs_CVAE,1,10,MNIST,NN,5902.0,0.02761483659528761,TSS
VAE_vs_CVAE,0,10,MNIST,RF,5595.0,0.14633632030870422,TSS
VAE_vs_CVAE,1,10,MNIST,SVM,6648.0,5.685844196847355e-05,TSS
